Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
307,Texas Christian,33,12,21,0.364,4.07,8.62,NA,2,16,NA,9,9,NA,1,10,NA,2209,2359,NA,1320,734,1810,0.406,187,558,0.335,554,826,0.671,355,1111,382,213,126,478,675,2015-2016
308,Texas-El Paso,33,19,14,0.576,-3.81,-4.93,NA,10,8,NA,14,4,NA,2,9,NA,2554,2471,NA,1335,896,1926,0.465,223,618,0.361,539,809,0.666,299,1197,512,197,116,417,672,2015-2016
309,Texas-Rio Grande Valley,30,8,22,0.267,-17.88,-4.25,NA,4,10,NA,7,6,NA,1,13,NA,1993,2330,NA,1200,716,1712,0.418,212,633,0.335,349,520,0.671,257,1004,459,143,91,374,536,2015-2016
310,Texas-San Antonio,32,5,27,0.156,-16.36,-3.36,NA,3,15,NA,4,10,NA,1,14,NA,2317,2698,NA,1290,796,1915,0.416,220,691,0.318,505,719,0.702,327,1086,366,206,80,435,701,2015-2016
311,Texas Southern,33,18,15,0.545,-4.64,-6.94,NA,16,2,NA,9,0,NA,7,13,NA,2403,2327,NA,1320,848,1853,0.458,222,657,0.338,485,769,0.631,408,1249,469,146,101,434,505,2015-2016
312,Texas State,31,15,16,0.484,-5.36,-4.29,NA,8,12,NA,10,4,NA,4,11,NA,2046,1993,NA,1250,727,1692,0.43,149,459,0.325,443,658,0.673,336,1063,366,189,96,370,576,2015-2016
313,Texas Tech NCAA,32,19,13,0.594,12.41,10.25,NA,9,9,NA,14,3,NA,3,7,NA,2305,2236,NA,1295,785,1754,0.448,185,534,0.346,550,741,0.742,326,1086,418,190,134,385,589,2015-2016
314,Texas NCAA,33,20,13,0.606,14.8,11.71,NA,11,7,NA,14,3,NA,5,5,NA,2355,2253,NA,1330,814,1884,0.432,232,681,0.341,495,743,0.666,363,1139,377,167,144,341,688,2015-2016
315,Toledo,32,17,15,0.531,2.96,-2.36,NA,8,10,NA,9,6,NA,6,8,NA,2482,2286,NA,1280,865,1881,0.46,263,722,0.364,489,655,0.747,306,1161,523,167,63,373,552,2015-2016
316,Towson,33,20,13,0.606,-0.06,-1.57,NA,11,7,NA,12,3,NA,7,6,NA,2358,2227,NA,1330,805,1888,0.426,182,574,0.317,566,840,0.674,472,1295,371,203,155,401,677,2015-2016
317,Troy,31,9,22,0.29,-9.21,-2.07,NA,4,16,NA,4,10,NA,4,10,NA,2145,2329,NA,1250,740,1817,0.407,208,675,0.308,457,713,0.641,349,1132,349,185,88,376,582,2015-2016
318,Tulane,34,12,22,0.353,-0.85,3.79,NA,3,15,NA,6,10,NA,2,10,NA,2240,2398,NA,1390,802,2021,0.397,216,719,0.3,420,621,0.676,415,1268,372,218,131,451,649,2015-2016
319,Tulsa NCAA,32,20,12,0.625,9.79,5.76,NA,12,6,NA,12,3,NA,6,5,NA,2356,2227,NA,1290,821,1849,0.444,219,671,0.326,495,731,0.677,323,1123,435,216,88,346,563,2015-2016
