Rank,School,Games,OverallWins,OverallLosses,WinPct,OverallSRS,OverallSOS,ConferenceWins,ConferenceLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ForPoints,OppPoints,Blank,Minutes,FieldGoalsMade,FieldGoalsAttempted,FieldGoalPCT,ThreePointMade,ThreePointAttempts,ThreePointPct,FreeThrowsMade,FreeThrowsAttempted,FreeThrowPCT,OffensiveRebounds,TotalRebounds,Assists,Steals,Blocks,Turnovers,PersonalFouls,X35,X36,X37,X38,Season
202,New Mexico,31,17,14,0.548,3.04,2.07,NA,10,8,NA,11,4,NA,5,7,NA,2283,2253,NA,1245,778,1693,0.46,145,444,0.327,582,780,0.746,274,1071,419,189,109,403,611,2016-2017
203,New Orleans NCAA,32,20,12,0.625,-4.1,-5.34,NA,13,5,NA,11,3,NA,7,8,NA,2331,2215,NA,1300,830,1755,0.473,139,438,0.317,532,749,0.71,386,1140,500,252,97,534,562,2016-2017
204,Niagara,33,10,23,0.303,-8.34,-4.37,NA,6,14,NA,5,8,NA,3,13,NA,2448,2579,NA,1335,846,2035,0.416,244,667,0.366,512,683,0.75,389,1260,416,172,152,428,604,2016-2017
205,Nicholls State,31,14,17,0.452,-14.57,-5.23,NA,7,11,NA,10,3,NA,4,14,NA,2316,2464,NA,1255,771,1804,0.427,278,805,0.345,496,671,0.739,303,1020,430,234,190,451,599,2016-2017
206,NJIT,31,11,20,0.355,-10.12,-4.22,NA,3,11,NA,8,4,NA,2,15,NA,2253,2320,NA,1245,786,1857,0.423,258,775,0.333,421,599,0.703,357,1134,395,203,89,418,599,2016-2017
207,Norfolk State,34,17,17,0.5,-12.07,-8.57,NA,12,4,NA,10,2,NA,5,12,NA,2374,2430,NA,1380,827,1949,0.424,225,663,0.339,495,727,0.681,365,1307,375,173,180,502,705,2016-2017
208,North Carolina-Asheville,33,23,10,0.697,0.84,-5.61,NA,15,3,NA,13,1,NA,10,8,NA,2544,2261,NA,1345,908,1908,0.476,264,670,0.394,464,681,0.681,281,1096,512,306,64,384,553,2016-2017
209,North Carolina A&T,32,3,29,0.094,-23.07,-9.61,NA,1,15,NA,3,10,NA,0,18,NA,2056,2435,NA,1300,728,1716,0.424,200,610,0.328,400,587,0.681,348,1102,352,144,69,466,629,2016-2017
210,North Carolina Central NCAA,34,25,9,0.735,-3.18,-12.12,NA,13,3,NA,11,2,NA,11,6,NA,2542,2159,NA,1360,910,2005,0.454,255,761,0.335,467,684,0.683,397,1313,480,209,112,406,587,2016-2017
211,North Carolina-Greensboro,35,25,10,0.714,-0.1,-2.63,NA,14,4,NA,13,4,NA,8,5,NA,2628,2424,NA,1400,947,2043,0.464,308,807,0.382,426,603,0.706,405,1243,525,245,133,474,638,2016-2017
212,North Carolina State,32,15,17,0.469,6.09,8.09,NA,4,14,NA,11,7,NA,2,8,NA,2483,2547,NA,1290,888,1898,0.468,226,635,0.356,481,687,0.7,329,1161,457,162,140,428,582,2016-2017
213,North Carolina-Wilmington NCAA,35,29,6,0.829,8.06,-0.55,NA,15,3,NA,13,1,NA,11,3,NA,2967,2624,NA,1405,1071,2231,0.48,336,917,0.366,489,708,0.691,422,1261,564,234,115,363,699,2016-2017
214,North Carolina NCAA,40,33,7,0.825,24.84,11.76,NA,14,4,NA,16,0,NA,6,5,NA,3377,2824,NA,1605,1226,2633,0.466,283,798,0.355,642,916,0.701,630,1748,722,283,139,473,711,2016-2017
215,North Dakota State,30,19,11,0.633,-1.31,-2.63,NA,11,5,NA,11,2,NA,7,7,NA,2244,2146,NA,1215,775,1693,0.458,232,630,0.368,462,650,0.711,258,1047,365,183,111,348,501,2016-2017
216,North Dakota NCAA,32,22,10,0.688,-1.83,-5.45,NA,14,4,NA,11,2,NA,7,6,NA,2578,2357,NA,1300,926,1919,0.483,228,585,0.39,498,698,0.713,297,1146,487,251,93,419,672,2016-2017
217,North Florida,34,15,19,0.441,-7.78,-1.65,NA,8,6,NA,10,5,NA,4,13,NA,2637,2674,NA,1360,926,2025,0.457,295,841,0.351,490,748,0.655,423,1321,447,185,143,542,639,2016-2017
218,North Texas,30,8,22,0.267,-11.14,-3.32,NA,2,16,NA,7,11,NA,1,11,NA,2075,2258,NA,1205,740,1747,0.424,186,582,0.32,409,633,0.646,300,1075,338,199,95,410,567,2016-2017
219,Northeastern,31,15,16,0.484,-0.78,-0.91,NA,8,10,NA,7,4,NA,7,10,NA,2234,2230,NA,1255,767,1682,0.456,267,728,0.367,433,636,0.681,264,1039,414,170,112,390,522,2016-2017
220,Northern Arizona,32,9,23,0.281,-13.92,-5.95,NA,6,12,NA,5,7,NA,2,12,NA,2217,2436,NA,1285,769,1892,0.406,239,746,0.32,440,644,0.683,383,1218,440,142,63,465,590,2016-2017
221,Northern Colorado,29,11,18,0.379,-9.27,-4.2,NA,7,11,NA,6,6,NA,4,11,NA,2075,2167,NA,1170,732,1666,0.439,254,732,0.347,357,590,0.605,310,1075,392,147,64,407,563,2016-2017
222,Northern Illinois,32,15,17,0.469,-3.29,-2.05,NA,7,11,NA,9,8,NA,6,9,NA,2310,2261,NA,1310,828,1891,0.438,161,516,0.312,493,728,0.677,401,1211,347,226,80,429,618,2016-2017
223,Northern Iowa,30,14,16,0.467,1.29,5.22,NA,9,9,NA,9,4,NA,3,9,NA,1854,1931,NA,1215,622,1559,0.399,229,702,0.326,381,520,0.733,182,878,298,197,84,342,464,2016-2017
224,Northern Kentucky NCAA,35,24,11,0.686,-0.17,-2.84,NA,12,6,NA,12,2,NA,8,7,NA,2659,2507,NA,1400,928,2037,0.456,300,859,0.349,503,740,0.68,391,1319,486,200,98,468,622,2016-2017
225,Northwestern State,29,13,16,0.448,-12.03,-6.07,NA,7,11,NA,7,6,NA,5,10,NA,2204,2301,NA,1170,751,1698,0.442,203,555,0.366,499,723,0.69,337,1049,405,196,77,439,568,2016-2017
226,Northwestern NCAA,36,24,12,0.667,14.02,8.43,NA,10,8,NA,14,4,NA,5,5,NA,2558,2357,NA,1440,913,2092,0.436,255,745,0.342,477,638,0.748,386,1304,541,189,175,383,691,2016-2017
227,Notre Dame NCAA,36,26,10,0.722,17.81,9.78,NA,12,6,NA,16,2,NA,5,4,NA,2783,2494,NA,1445,980,2139,0.458,334,869,0.384,489,611,0.8,334,1212,566,255,134,341,533,2016-2017
228,Oakland,34,25,9,0.735,4.22,-3,NA,14,4,NA,13,4,NA,11,3,NA,2699,2419,NA,1365,935,2057,0.455,247,738,0.335,582,765,0.761,353,1324,576,266,170,462,592,2016-2017
229,Ohio State,32,17,15,0.531,10.31,7.28,NA,7,11,NA,13,6,NA,4,7,NA,2329,2232,NA,1285,827,1786,0.463,211,592,0.356,464,680,0.682,324,1191,434,166,121,423,562,2016-2017
230,Ohio,31,20,11,0.645,3.9,-2.56,NA,11,7,NA,12,4,NA,7,6,NA,2387,2166,NA,1240,835,1837,0.455,285,742,0.384,432,626,0.69,284,1141,415,182,88,388,550,2016-2017
231,Oklahoma State NCAA,33,20,13,0.606,19.19,12.22,NA,9,9,NA,11,5,NA,7,5,NA,2828,2589,NA,1320,957,2050,0.467,294,732,0.402,620,786,0.789,454,1215,486,252,99,432,730,2016-2017
232,Oklahoma,31,11,20,0.355,11.42,12.62,NA,5,13,NA,8,7,NA,1,9,NA,2262,2299,NA,1265,788,1863,0.423,192,558,0.344,494,685,0.721,361,1173,328,213,147,428,602,2016-2017
233,Old Dominion,31,19,12,0.613,1.94,-1.35,NA,12,6,NA,11,4,NA,7,5,NA,1998,1896,NA,1250,727,1765,0.412,157,485,0.324,387,602,0.643,412,1190,422,196,142,348,566,2016-2017
234,Oral Roberts,30,8,22,0.267,-5.51,1.24,NA,4,12,NA,7,6,NA,1,13,NA,2252,2398,NA,1210,810,1819,0.445,216,588,0.367,416,548,0.759,278,1034,423,162,88,360,534,2016-2017
235,Oregon State,32,5,27,0.156,-4.59,5.89,NA,1,17,NA,5,11,NA,0,13,NA,2021,2321,NA,1285,721,1686,0.428,203,586,0.346,376,569,0.661,290,1038,380,177,118,491,611,2016-2017
236,Oregon NCAA,39,33,6,0.846,20.8,8.38,NA,16,2,NA,17,0,NA,7,3,NA,3076,2565,NA,1565,1091,2270,0.481,334,880,0.38,560,787,0.712,412,1431,614,253,248,454,614,2016-2017
237,Pacific,33,11,22,0.333,-4.57,2.09,NA,4,14,NA,8,8,NA,2,12,NA,2206,2371,NA,1325,784,1939,0.404,185,560,0.33,453,671,0.675,385,1225,396,140,63,386,690,2016-2017
238,Penn State,33,15,18,0.455,7.9,8.9,NA,6,12,NA,9,7,NA,3,7,NA,2367,2400,NA,1345,825,1989,0.415,230,679,0.339,487,654,0.745,330,1166,449,224,184,430,596,2016-2017
239,Pennsylvania,28,13,15,0.464,-0.65,-1.5,NA,6,8,NA,6,6,NA,7,8,NA,1928,1904,NA,1125,710,1603,0.443,234,690,0.339,274,417,0.657,267,972,401,181,100,358,501,2016-2017
240,Pepperdine,31,9,22,0.29,-10,1.87,NA,5,13,NA,7,7,NA,1,12,NA,2140,2490,NA,1240,807,1811,0.446,178,482,0.369,348,543,0.641,295,1033,420,157,84,389,531,2016-2017
241,Pittsburgh,33,16,17,0.485,9.25,11.06,NA,4,14,NA,11,6,NA,2,8,NA,2404,2464,NA,1340,807,1825,0.442,263,728,0.361,527,719,0.733,313,1158,473,127,112,396,548,2016-2017
242,Portland State,31,15,16,0.484,-7.06,-6.63,NA,7,11,NA,10,3,NA,4,12,NA,2645,2535,NA,1280,959,1991,0.482,238,697,0.341,489,743,0.658,322,1064,491,307,81,376,590,2016-2017
243,Portland,33,11,22,0.333,-5.81,2.32,NA,2,16,NA,5,10,NA,2,9,NA,2215,2383,NA,1335,758,1793,0.423,214,573,0.373,485,655,0.74,278,1098,325,163,112,424,581,2016-2017
244,Prairie View,33,13,20,0.394,-14.54,-8.48,NA,10,8,NA,10,3,NA,3,17,NA,2276,2419,NA,1330,788,1839,0.428,237,678,0.35,463,659,0.703,292,1019,404,273,121,436,700,2016-2017
245,Presbyterian,30,5,25,0.167,-23.63,-5.95,NA,1,17,NA,5,8,NA,0,17,NA,1836,2245,NA,1205,667,1618,0.412,181,523,0.346,321,468,0.686,300,979,364,143,72,451,519,2016-2017
246,Princeton NCAA,30,23,7,0.767,6.57,-1.84,NA,14,0,NA,10,1,NA,10,4,NA,2149,1843,NA,1205,772,1716,0.45,298,789,0.378,307,416,0.738,247,1003,426,200,93,298,482,2016-2017
247,Providence NCAA,33,20,13,0.606,11.24,7.84,NA,10,8,NA,15,3,NA,4,7,NA,2319,2207,NA,1325,804,1795,0.448,239,645,0.371,472,683,0.691,294,1101,471,218,98,412,569,2016-2017
